FECHA,RUTA,TURNO,TIPO RUTA,PUNTO,DESCRIPCION,HORARIO,HORARIO PROGRAMADO,HORARIO ETA PROMEDIO,DIFERENCIA,TAMAÑO MUESTRA,DESVIACION ESTANDAR
01/05/2026,LOMA LINDA - URDIÑOLA,Entrada,N,9,PROL. URDIÑOLA Y J. MERY,H2,16:55,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Entrada,N,9,PROL. URDIÑOLA Y J. MERY,H3,20:25,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Entrada,N,9,PROL. URDIÑOLA Y J. MERY,H4,20:55,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Entrada,N,10,PROL URDIÑOLA Y PERIFERICO LEA,H1,05:00,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Entrada,N,10,PROL URDIÑOLA Y PERIFERICO LEA,H2,17:00,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Entrada,N,10,PROL URDIÑOLA Y PERIFERICO LEA,H3,20:30,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Entrada,N,10,PROL URDIÑOLA Y PERIFERICO LEA,H4,21:00,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Entrada,N,11,BLVD ANTONIO CARDENAS Y TEODORO SANCHEZ,H1,05:10,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Entrada,N,11,BLVD ANTONIO CARDENAS Y TEODORO SANCHEZ,H2,17:10,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Entrada,N,11,BLVD ANTONIO CARDENAS Y TEODORO SANCHEZ,H3,20:40,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Entrada,N,11,BLVD ANTONIO CARDENAS Y TEODORO SANCHEZ,H4,21:10,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Entrada,N,12,BLVD SANTA ELENA Y GUACALI,H1,05:20,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Entrada,N,12,BLVD SANTA ELENA Y GUACALI,H2,17:20,17:34,-14,1,0
01/05/2026,LOMA LINDA - URDIÑOLA,Entrada,N,12,BLVD SANTA ELENA Y GUACALI,H3,20:50,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Entrada,N,12,BLVD SANTA ELENA Y GUACALI,H4,21:20,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Entrada,N,13,CARR. SALTILLO-ZACATECAS,H1,05:25,05:34,-9,1,0
01/05/2026,LOMA LINDA - URDIÑOLA,Entrada,N,13,CARR. SALTILLO-ZACATECAS,H2,17:25,17:35,-10,1,0
01/05/2026,LOMA LINDA - URDIÑOLA,Entrada,N,13,CARR. SALTILLO-ZACATECAS,H3,20:55,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Entrada,N,13,CARR. SALTILLO-ZACATECAS,H4,21:25,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Entrada,N,14,METALSA,H1,05:50,05:49,1,1,0
01/05/2026,LOMA LINDA - URDIÑOLA,Entrada,N,14,METALSA,H2,17:50,17:48,2,1,0
01/05/2026,LOMA LINDA - URDIÑOLA,Entrada,N,14,METALSA,H3,21:20,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Entrada,N,14,METALSA,H4,21:50,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Salida,N,1,METALSA,H1,06:15,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Salida,N,1,METALSA,H2,15:30,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Salida,N,1,METALSA,H3,18:15,18:16,-1,1,0
01/05/2026,LOMA LINDA - URDIÑOLA,Salida,N,2,CARR. SALTILLO-ZACATECAS,H1,06:29,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Salida,N,2,CARR. SALTILLO-ZACATECAS,H2,15:59,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Salida,N,2,CARR. SALTILLO-ZACATECAS,H3,18:29,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Salida,N,3,BLVD SANTA ELENA Y GUACALI,H1,06:30,06:29,1,1,0
01/05/2026,LOMA LINDA - URDIÑOLA,Salida,N,3,BLVD SANTA ELENA Y GUACALI,H2,16:00,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Salida,N,3,BLVD SANTA ELENA Y GUACALI,H3,18:30,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Salida,N,4,BLVD ANTONIO CARDENAS Y TEODORO SANCHEZ,H1,06:31,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Salida,N,4,BLVD ANTONIO CARDENAS Y TEODORO SANCHEZ,H2,16:01,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Salida,N,4,BLVD ANTONIO CARDENAS Y TEODORO SANCHEZ,H3,18:31,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Salida,N,5,PROL URDIÑOLA Y PERIFERICO LEA,H1,06:32,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Salida,N,5,PROL URDIÑOLA Y PERIFERICO LEA,H2,16:02,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Salida,N,5,PROL URDIÑOLA Y PERIFERICO LEA,H3,18:32,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Salida,N,6,PROL. URDIÑOLA Y J. MERY,H1,06:33,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Salida,N,6,PROL. URDIÑOLA Y J. MERY,H2,16:03,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Salida,N,6,PROL. URDIÑOLA Y J. MERY,H3,18:33,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Salida,N,7,REFORMA Y URDIÑOLA,H1,06:34,06:57,-23,1,0
01/05/2026,LOMA LINDA - URDIÑOLA,Salida,N,7,REFORMA Y URDIÑOLA,H2,16:04,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Salida,N,7,REFORMA Y URDIÑOLA,H3,18:34,18:56,-22,1,0
01/05/2026,LOMA LINDA - URDIÑOLA,Salida,N,8,BLVD VALDES SANCHEZ Y BLVD MINERIA,H1,06:55,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Salida,N,8,BLVD VALDES SANCHEZ Y BLVD MINERIA,H2,16:10,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Salida,N,8,BLVD VALDES SANCHEZ Y BLVD MINERIA,H3,18:55,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Salida,N,9,DEPOSITO DE AGUA FRACC PLAZA,H1,07:00,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Salida,N,9,DEPOSITO DE AGUA FRACC PLAZA,H2,16:15,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Salida,N,9,DEPOSITO DE AGUA FRACC PLAZA,H3,19:00,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Salida,N,10,BLVD VALDES SANCHEZ Y (PLANTA LEAR),H1,07:05,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Salida,N,10,BLVD VALDES SANCHEZ Y (PLANTA LEAR),H2,16:20,,,,
01/05/2026,LOMA LINDA - URDIÑOLA,Salida,N,10,BLVD VALDES SANCHEZ Y (PLANTA LEAR),H3,19:05,,,,
