sequential_id|rdes|shift|route_type|id|des|sch|time|mean|diff|n|std
0034|LOMA LINDA - URDIÑOLA|Salida|N|6|PROL. URDIÑOLA Y J. MERY|H1|06:33|||0|
0034|LOMA LINDA - URDIÑOLA|Salida|N|6|PROL. URDIÑOLA Y J. MERY|H2|16:03|||0|
0034|LOMA LINDA - URDIÑOLA|Salida|N|6|PROL. URDIÑOLA Y J. MERY|H3|18:33|||0|
0034|LOMA LINDA - URDIÑOLA|Salida|N|7|REFORMA Y URDIÑOLA|H1|06:34|06:58|-24|1|0
0034|LOMA LINDA - URDIÑOLA|Salida|N|7|REFORMA Y URDIÑOLA|H2|16:04|||0|
0034|LOMA LINDA - URDIÑOLA|Salida|N|7|REFORMA Y URDIÑOLA|H3|18:34|||0|
0034|LOMA LINDA - URDIÑOLA|Salida|N|8|BLVD VALDES SANCHEZ Y BLVD MINERIA|H1|06:55|||0|
0034|LOMA LINDA - URDIÑOLA|Salida|N|8|BLVD VALDES SANCHEZ Y BLVD MINERIA|H2|16:10|||0|
0034|LOMA LINDA - URDIÑOLA|Salida|N|8|BLVD VALDES SANCHEZ Y BLVD MINERIA|H3|18:55|||0|
0034|LOMA LINDA - URDIÑOLA|Salida|N|9|DEPOSITO DE AGUA FRACC PLAZA|H1|07:00|||0|
0034|LOMA LINDA - URDIÑOLA|Salida|N|9|DEPOSITO DE AGUA FRACC PLAZA|H2|16:15|||0|
0034|LOMA LINDA - URDIÑOLA|Salida|N|9|DEPOSITO DE AGUA FRACC PLAZA|H3|19:00|||0|
0034|LOMA LINDA - URDIÑOLA|Salida|N|10|BLVD VALDES SANCHEZ Y (PLANTA LEAR)|H1|07:05|||0|
0034|LOMA LINDA - URDIÑOLA|Salida|N|10|BLVD VALDES SANCHEZ Y (PLANTA LEAR)|H2|16:20|||0|
0034|LOMA LINDA - URDIÑOLA|Salida|N|10|BLVD VALDES SANCHEZ Y (PLANTA LEAR)|H3|19:05|||0|
0034|LOMA LINDA - URDIÑOLA|Salida|N|11|BLVD SANTA LUCIA Y BLVD FUNDADORES|H1|07:15|||0|
0034|LOMA LINDA - URDIÑOLA|Salida|N|11|BLVD SANTA LUCIA Y BLVD FUNDADORES|H2|16:30|||0|
0034|LOMA LINDA - URDIÑOLA|Salida|N|11|BLVD SANTA LUCIA Y BLVD FUNDADORES|H3|19:15|||0|
0034|LOMA LINDA - URDIÑOLA|Salida|N|12|BLVD SANTA LUCIA Y CALLE 7|H1|07:16|||0|
0034|LOMA LINDA - URDIÑOLA|Salida|N|12|BLVD SANTA LUCIA Y CALLE 7|H2|16:31|||0|
0034|LOMA LINDA - URDIÑOLA|Salida|N|12|BLVD SANTA LUCIA Y CALLE 7|H3|19:16|||0|
0034|LOMA LINDA - URDIÑOLA|Salida|N|13|MEZQUITE Y NUECES|H1|07:25|||0|
0034|LOMA LINDA - URDIÑOLA|Salida|N|13|MEZQUITE Y NUECES|H2|16:40|||0|
0034|LOMA LINDA - URDIÑOLA|Salida|N|13|MEZQUITE Y NUECES|H3|19:25|||0|
0034|LOMA LINDA - URDIÑOLA|Salida|N|14|MEZQUITE Y GORDOLOBO|H1|07:30|07:16|14|1|0
0034|LOMA LINDA - URDIÑOLA|Salida|N|14|MEZQUITE Y GORDOLOBO|H2|16:45|||0|
0034|LOMA LINDA - URDIÑOLA|Salida|N|14|MEZQUITE Y GORDOLOBO|H3|19:30|||0|
0145|LOS HOYOS - MACUYU|Entrada|A|1|LOS HOYOS|H1|03:20|||0|
0145|LOS HOYOS - MACUYU|Entrada|A|1|LOS HOYOS|H2|15:20|||0|
0145|LOS HOYOS - MACUYU|Entrada|A|1|LOS HOYOS|H3|18:50|||0|
0145|LOS HOYOS - MACUYU|Entrada|A|1|LOS HOYOS|H4|19:20|||0|
0145|LOS HOYOS - MACUYU|Entrada|A|2|HUARICHE|H1|03:38|||0|
0145|LOS HOYOS - MACUYU|Entrada|A|2|HUARICHE|H2|15:38|||0|
0145|LOS HOYOS - MACUYU|Entrada|A|2|HUARICHE|H3|19:08|||0|
0145|LOS HOYOS - MACUYU|Entrada|A|2|HUARICHE|H4|19:38|||0|
0145|LOS HOYOS - MACUYU|Entrada|A|3|PRESA DE GUADALUPE|H1|04:08|||0|
0145|LOS HOYOS - MACUYU|Entrada|A|3|PRESA DE GUADALUPE|H2|16:08|||0|
0145|LOS HOYOS - MACUYU|Entrada|A|3|PRESA DE GUADALUPE|H3|19:38|||0|
0145|LOS HOYOS - MACUYU|Entrada|A|3|PRESA DE GUADALUPE|H4|20:08|||0|
0145|LOS HOYOS - MACUYU|Entrada|A|4|MACUYU|H1|04:14|||0|
0145|LOS HOYOS - MACUYU|Entrada|A|4|MACUYU|H2|16:14|||0|
0145|LOS HOYOS - MACUYU|Entrada|A|4|MACUYU|H3|19:44|||0|
0145|LOS HOYOS - MACUYU|Entrada|A|4|MACUYU|H4|20:14|||0|
0145|LOS HOYOS - MACUYU|Entrada|A|5|DOS DE ABRIL|H1|04:24|||0|
0145|LOS HOYOS - MACUYU|Entrada|A|5|DOS DE ABRIL|H2|16:24|||0|
0145|LOS HOYOS - MACUYU|Entrada|A|5|DOS DE ABRIL|H3|19:54|||0|
0145|LOS HOYOS - MACUYU|Entrada|A|5|DOS DE ABRIL|H4|20:24|||0|
0145|LOS HOYOS - MACUYU|Entrada|A|6|LA PAZ|H1|04:50|||0|
0145|LOS HOYOS - MACUYU|Entrada|A|6|LA PAZ|H2|16:50|||0|
0145|LOS HOYOS - MACUYU|Entrada|A|6|LA PAZ|H3|20:20|||0|
0145|LOS HOYOS - MACUYU|Entrada|A|6|LA PAZ|H4|20:50|||0|
0145|LOS HOYOS - MACUYU|Entrada|A|7|DERRAMADERO|H1|05:08|||0|
0145|LOS HOYOS - MACUYU|Entrada|A|7|DERRAMADERO|H2|17:08|||0|
0145|LOS HOYOS - MACUYU|Entrada|A|7|DERRAMADERO|H3|20:38|||0|
0145|LOS HOYOS - MACUYU|Entrada|A|7|DERRAMADERO|H4|21:08|||0|
0145|LOS HOYOS - MACUYU|Entrada|A|8|METALSA|H1|05:50|||0|
0145|LOS HOYOS - MACUYU|Entrada|A|8|METALSA|H2|17:50|||0|
0145|LOS HOYOS - MACUYU|Entrada|A|8|METALSA|H3|21:20|||0|
0145|LOS HOYOS - MACUYU|Entrada|A|8|METALSA|H4|21:50|||0|
0028|LOS HOYOS - MACUYU|Salida|N|1|METALSA|H1|15:30|||0|
0028|LOS HOYOS - MACUYU|Salida|N|1|METALSA|H2|06:15|06:15|0|1|0
0028|LOS HOYOS - MACUYU|Salida|N|1|METALSA|H3|18:15|18:16|-1|1|0
0028|LOS HOYOS - MACUYU|Salida|N|2|DERRAMADERO|H1|15:41|||0|
0028|LOS HOYOS - MACUYU|Salida|N|2|DERRAMADERO|H2|06:26|06:45|-19|1|0
0028|LOS HOYOS - MACUYU|Salida|N|2|DERRAMADERO|H3|18:26|18:41|-15|1|0
0028|LOS HOYOS - MACUYU|Salida|N|3|LA PAZ|H1|15:42|||0|
0028|LOS HOYOS - MACUYU|Salida|N|3|LA PAZ|H2|06:27|07:06|-39|1|0
0028|LOS HOYOS - MACUYU|Salida|N|3|LA PAZ|H3|18:27|19:02|-35|1|0
0028|LOS HOYOS - MACUYU|Salida|N|4|DOS DE ABRIL|H1|15:44|||0|
0028|LOS HOYOS - MACUYU|Salida|N|4|DOS DE ABRIL|H2|06:29|07:31|-62|1|0
0028|LOS HOYOS - MACUYU|Salida|N|4|DOS DE ABRIL|H3|18:29|19:27|-58|1|0
0028|LOS HOYOS - MACUYU|Salida|N|5|MACUYU|H1|15:45|||0|
0028|LOS HOYOS - MACUYU|Salida|N|5|MACUYU|H2|06:30|07:42|-72|1|0
0028|LOS HOYOS - MACUYU|Salida|N|5|MACUYU|H3|18:30|19:39|-69|1|0
0028|LOS HOYOS - MACUYU|Salida|N|6|PRESA DE GUADALUPE|H1|16:00|||0|
0028|LOS HOYOS - MACUYU|Salida|N|6|PRESA DE GUADALUPE|H2|06:31|07:47|-76|1|0
0028|LOS HOYOS - MACUYU|Salida|N|6|PRESA DE GUADALUPE|H3|18:35|19:39|-64|1|0
0028|LOS HOYOS - MACUYU|Salida|N|7|HUARICHE|H1|17:18|||0|
0028|LOS HOYOS - MACUYU|Salida|N|7|HUARICHE|H2|08:03|||0|
0028|LOS HOYOS - MACUYU|Salida|N|7|HUARICHE|H3|20:03|||0|
0028|LOS HOYOS - MACUYU|Salida|N|8|LOS HOYOS|H1|17:30|||0|
0028|LOS HOYOS - MACUYU|Salida|N|8|LOS HOYOS|H2|08:15|||0|
0028|LOS HOYOS - MACUYU|Salida|N|8|LOS HOYOS|H3|20:15|||0|
0011|OTILIO|Entrada|N|1|CALLE 23 Y CALLE 16|H1|04:25|04:26|-1|1|0
0011|OTILIO|Entrada|N|1|CALLE 23 Y CALLE 16|H2|16:25|16:27|-2|1|0
